Unnamed:0,DESA_1,year,population
278,PASAWAHAN ANYAR,2012,1749
279,PASAWAHANKIDUL,2012,3210
280,SAWAH KULON,2012,4564
281,KERTAJAYA,2012,4140
282,LEBAKANYAR,2012,4791
283,CIHUNI,2012,3454
284,WARUNGKADU,2012,2612
285,SELAAWI,2012,4819
286,MARGASARI,2012,3409
287,PASAWAHAN,2012,4301
288,CIRENDE,2012,1849
289,BENTENG,2012,2488
290,CAMPAKA,2012,3429
291,CAMPAKASARI,2012,5062
292,CIJUNTI,2012,4624
293,CISAAT,2012,3512
294,CIMAHI,2012,5219
295,CIKUMPAY,2012,5193
296,CIJAYA,2012,3558
297,KERTAMUKTI,2012,3485
298,WANAWALI,2012,1571
299,CIKADU,2012,2085
300,CIBUKAMANAH,2012,2040
301,CIRANGKONG,2012,3133
302,CIPANCUR,2012,1642
303,CIPINANG,2012,4074
304,CIPARUNGSARI,2012,2980
305,KARYAMEKAR,2012,2943
306,CIBATU,2012,2679
307,CILANDAK,2012,4074
308,PASIRANGIN,2012,5137
309,NANGEWER,2012,5916
310,NEGLASARI,2012,4234
311,LINGGASARI,2012,3872
312,SAWIT,2012,3643
313,SIRNAMANAH,2012,1834
314,DEPOK,2012,5698
315,LEGOKSARI,2012,2028
316,MEKARSARI,2012,4071
317,GUNUNGHEJO,2012,2850
318,DARANGDAN,2012,5627
319,SADARKARYA,2012,2845
320,LINGGAMUKTI,2012,2837
321,CILINGGA,2012,4181
322,NAGRAK,2012,6226
323,TEGALDATAR,2012,5241
324,SINARGALIH,2012,5333
325,CITAMIANG,2012,3894
326,CIJATI,2012,2437
327,GUNUNGKARUNG,2012,4124
328,PASIRJAMBU,2012,3217
329,CIRAMAHILIR,2012,3241
330,SUKAMUKTI,2012,3416
331,SUKAHAJI,2012,2603
332,KAROYA,2012,4175
333,CADASSARI,2012,2575
334,CADASMEKAR,2012,3023
335,CITALANG,2012,4400
336,BATUTUMPANG,2012,3982
337,TEGALWARU,2012,2472
338,TEGALSARI,2012,2458
339,WARUNGJERUK,2012,4262
340,GALUMPIT,2012,2465
341,CISARUA,2012,4285
342,SUKAMULYA,2012,5244
343,PASANGGRAHAN,2012,3058
344,RAWASARI,2012,3537
345,GANDASOLI,2012,3223
346,GANDAMEKAR,2012,2911
347,CIBOGOHILIR,2012,6325
348,PALINGGIHAN,2012,5166
349,BABAKAN SARI,2012,2795
350,P L E R E D,2012,5207
351,SINDANGSARI,2012,5336
352,CITEKO,2012,5417
353,CITEKOKALER,2012,3288
354,LINGGARSARI,2012,4163
355,PAMOYANAN,2012,5522
356,LIUNGGUNUNG,2012,5279
357,ANJUN,2012,4250
358,CIBOGO GIRANG,2012,7275
359,SEMPUR,2012,5432
360,CIANTING,2012,6550
361,PASIRMUNJUL,2012,3544
362,CIBODAS,2012,3972
363,CIANTING UTARA,2012,3032
364,SUKATANI,2012,11218
365,MALANGNENGAH,2012,4629
366,CILALAWI,2012,4405
367,SUKAMAJU,2012,3383
368,CIPICUNG,2012,3113
369,TAJURSINDANG,2012,5201
370,SINDANGLAYA,2012,3941
371,PANYINDANGAN,2012,5561
372,SUKAJAYA,2012,5006
373,CIJANTUNG,2012,4064
374,CIWANGI,2012,10904
375,CIBENING,2012,7951
376,BUNGURSARI,2012,3369
377,CIBUNGUR,2012,3352
378,DANGDEUR,2012,1970
379,WANAKERTA,2012,3506
380,CINANGKA,2012,3306
381,CIKOPO,2012,7242
382,KARANGMUKTI,2012,4468
383,CIBODAS,2012,6311
384,NANGERANG,2013,2058
385,SIMPANG,2013,1953
386,SAKAMBANG,2013,1630
387,NAGROG,2013,2353
388,CIBUNTU,2013,1469
389,SUMURUGUL,2013,1685
390,RAHARJA,2013,1354
391,WANAYASA,2013,5399
392,BABAKAN,2013,3847
393,WANASARI,2013,3281
394,LEGOKHUNI,2013,2796
395,CIAWI,2013,2911
396,SUKADAMI,2013,3450
397,TARINGGUL TONGGOH,2013,3491
398,TARINGGUL TENGAH,2013,3214
399,JATIMEKAR,2013,3980
400,CIKAOBANDUNG,2013,5113
401,JATILUHUR,2013,3589
402,CILEGONG,2013,5084
403,KEMBANGKUNING,2013,9639
404,CIBINONG,2013,4380
405,PARAKANLIMA,2013,5434
406,CISALADA,2013,6279
407,MEKARGALIH,2013,8994
408,BUNDER,2013,10698
409,PUSAKAMULYA,2013,4156
410,PARAKAN GAROKGEK,2013,2881
411,CIRACAS,2013,2492
412,KIARAPEDES,2013,2611
413,CIBEBER,2013,2042
414,SUMBERSARI,2013,1608
415,MEKARJAYA,2013,2517
416,MARGALUYU,2013,2613
417,GARDU,2013,2243
418,TARINGGUL LANDEUH,2013,1980
419,PARUNGBANTENG,2013,2901
420,SUKASARI,2013,3127
421,CIRIRIP,2013,3428
422,KERTAMANAH,2013,2458
423,KUTAMANAH,2013,3759
424,CIBINGBIN,2013,4660
425,BOJONG TIMUR,2013,3979
426,PASANGGRAHAN,2013,2362
427,CIHANJAWAR,2013,2346
428,CIKERIS,2013,2635
429,BOJONG BARAT,2013,3368
430,PANGKALAN,2013,2415
431,SUKAMANAH,2013,2649
432,PAWENANG,2013,2831
433,SINDANGSARI,2013,3151
434,SINDANGPANON,2013,5874
435,CIPEUNDEUY,2013,4533
436,CILEUNCA,2013,3502
437,KERTASARI,2013,4163
438,SINDANGKASIH,2013,17971
439,NAGERI KIDUL,2013,15026
440,NAGERI TENGAH,2013,10582
441,CIPAISAN,2013,11986
442,NAGERI KALER,2013,25494
443,TEGALMUNJUL,2013,13162
444,CITALANG,2013,7876
445,MUNJULJAYA,2013,17475
446,CISEUREUH,2013,36489
447,PURWAMEKAR,2013,9386
448,MARACANG,2013,5261
449,CIWARENG,2013,7861
450,MULYAMEKAR,2013,7577
451,CIGELAM,2013,5545
452,BABAKANCIKAO,2013,3429
453,KADUMEKAR,2013,1487
454,HEGARMANAH,2013,2895
455,CICADAS,2013,3925
456,CILANGKAP,2013,5987
457,BUNGUR JAYA,2013,1976
458,PONDOKBUNGUR,2013,3159
459,SALEM,2013,3299
460,GALUDRA,2013,1430
461,SUKAJADI,2013,2692
462,TANJUNGSARI,2013,4266
463,SALAM JAYA,2013,2660
464,SITU,2013,2156
465,PARAKANSALAM,2013,1997
466,SALAM MULYA,2013,3562
467,GURUDUG,2013,2393
468,CIHERANG,2013,3901
469,CIDAHU,2013,1615
470,PASAWAHAN ANYAR,2013,1801
471,PASAWAHANKIDUL,2013,3271
472,SAWAH KULON,2013,4486
473,KERTAJAYA,2013,4071
474,LEBAKANYAR,2013,4852
475,CIHUNI,2013,3486
476,WARUNGKADU,2013,2621
477,SELAAWI,2013,3896
478,MARGASARI,2013,3438
479,PASAWAHAN,2013,4501
480,CIRENDE,2013,2474
481,BENTENG,2013,3200
482,CAMPAKA,2013,3444
483,CAMPAKASARI,2013,5055
484,CIJUNTI,2013,4638
485,CISAAT,2013,3524
486,CIMAHI,2013,5270
487,CIKUMPAY,2013,2137
488,CIJAYA,2013,3559
489,KERTAMUKTI,2013,3419
490,WANAWALI,2013,1588
491,CIKADU,2013,2102
492,CIBUKAMANAH,2013,2057
